Input,Damage,Guard,Startup,Active,Recovery,On-Block,On-Hit,R.I.S.C. Gain,R.I.S.C. Loss,Attack Level,Counter Type,Invuln,Proration
5P,23,All,5,4,8,-2,+1,500,1500,0,Small,none,80%
5K,27,All,7,6,10,-4,-1,1000,1000,1,Small,none,90%
c.S,39,All,7,6,10,+1,+4,2000,1000,3,Mid,none,100%
f.S,32,All,11,6,17,-9,-6,1500,1000,2,Mid,none,90%
5H,24×2,All,10,3(3)2,23,-6,KD,1200×2,1000,4,Large×2,none,100%
2P,21,All,5,4,9,-3,0,500,1500,0,Small,none,80%
2K,24,Low,6,3,12,-3,+0,750,1000,1,Small,F6~20 Low-profile,70%
2S,31,All,9,7,22,-15,-12,1500,1000,2,Mid,none,90%
2H,41,All,15,6,18,-5,KD,2500,1000,4,Large,none,100%
j.P,19,High,6,4,6,no data,no data,375,1000,0,Small,none,80%
j.K,23,High,7,6,12,no data,no data,750,1000,1,Small,none,80%
j.S,28,High,11,5,21,+3 (IAD),+6 (IAD),1125,1000,2,Mid,none,80%
j.H,"20, 15",High,11,"3,3",32,+5 (IAD),+8 (IAD),525×2,1000,2,Mid×2,none,80%
j.D,30,All,21,-,Total 44,no data,no data,500,1000,1,Very Small,none,80%
6P,28,All,10,6,20,-12,KD,1500,1000,2,Mid,1~1 Upper Body,90%
6H,"20, 40",All,"8,19",2(9)11,14,-6,KD/-3,"1000, 1200",1000,"3, 4",Large×2,none,100%
2D,29,Low,10,15,18,-19,HKD,1125,1000,2,Large,F10~33 Low-profile,90%
5D,45,High,20,3,26,-15,0,1125,3000,2,Mid,none,80%
5[D],56,High,28,3,26,-10,KD,1875,1500,2,Mid,none,100%
